id,timestamp,symbol,direction,quantity,size,price,fill_price,commission,pnl,realized_pnl
8aa4fe3c-f500-498c-a698-35c91d621a4d,2025-04-30 18:34:39.690664,MINI,SELL,19.0,19.0,521.12,521.12,0.0,0.0,0.0
f5407e8b-05d4-4cec-b7f6-468fc7335107,2025-04-30 18:34:39.691932,MINI,BUY,17.0,17.0,521.085,521.085,0.0,0.5949999999994589,0.5949999999994589
edfcb569-cc7c-4ff3-b49e-edd81ef65782,2025-04-30 18:34:39.692847,MINI,SELL,18.0,18.0,521.09,521.09,0.0,0.0,0.0
9b8d2edc-f3d9-4b0a-b1bc-f4b8808e8d5e,2025-04-30 18:34:39.693451,MINI,BUY,17.0,17.0,521.17,521.17,0.0,-1.3089999999980364,-1.3089999999980364
bc97b57b-af31-4907-a993-b096f977a43e,2025-04-30 18:34:39.694268,MINI,SELL,18.0,18.0,521.08,521.08,0.0,0.0,0.0
ab1f7463-c7ec-45ef-98b0-e1c0b3035d7d,2025-04-30 18:34:39.695212,MINI,BUY,17.0,17.0,521.145,521.145,0.0,-1.0734285714274847,-1.0734285714274847
6cadefe4-9ec0-4282-aa0c-1a41a8b480c5,2025-04-30 18:34:39.696338,MINI,SELL,18.0,18.0,521.25,521.25,0.0,0.0,0.0
9f0d9b36-b2fb-43c3-a0ad-11fa230c988e,2025-04-30 18:34:39.697035,MINI,BUY,16.0,16.0,521.31,521.31,0.0,-1.449142857141851,-1.449142857141851
c942011e-2593-482f-8b58-36d2a0401c81,2025-04-30 18:34:39.698145,MINI,SELL,18.0,18.0,521.3,521.3,0.0,0.0,0.0
3cc8554b-4eaf-4f07-a24a-95e2a7e43a28,2025-04-30 18:34:39.699052,MINI,BUY,16.0,16.0,521.3001,521.3001,0.0,-0.323885714286007,-0.323885714286007
c1e9087f-6cc8-4c13-a70f-9f72da7ece81,2025-04-30 18:34:39.699897,MINI,SELL,18.0,18.0,521.32,521.32,0.0,0.0,0.0
37a48a28-da15-4e57-9713-9aca38109448,2025-04-30 18:34:39.700514,MINI,BUY,16.0,16.0,521.38,521.38,0.0,-1.1576263736260444,-1.1576263736260444
3311fba3-cd62-4737-9bad-6810f3813ecc,2025-04-30 18:34:39.701403,MINI,SELL,18.0,18.0,521.36,521.36,0.0,0.0,0.0
1b7cecb5-b120-4fde-ab0e-2c2230110501,2025-04-30 18:34:39.702266,MINI,BUY,16.0,16.0,521.43,521.43,0.0,-1.4191522762939712,-1.4191522762939712
249eacd0-503a-48fd-bd72-38aa93ed3179,2025-04-30 18:34:39.703026,MINI,SELL,17.0,17.0,521.3,521.3,0.0,0.0,0.0
b5ac3a2c-df29-4a04-9199-b096efd2e56a,2025-04-30 18:34:39.704388,MINI,BUY,16.0,16.0,520.99,520.99,0.0,5.233454230497955,5.233454230497955
045a14f4-8890-4ea8-94c6-a14269a62f23,2025-04-30 18:34:39.705315,MINI,SELL,17.0,17.0,520.8799,520.8799,0.0,0.0,0.0
550fa129-4d87-421d-bdf2-da3619392483,2025-04-30 18:34:39.706062,MINI,BUY,16.0,16.0,521.03,521.03,0.0,0.629590166548951,0.629590166548951
8d4dd5c8-32a3-498b-b53a-b9d5fad22b91,2025-04-30 18:34:39.707029,MINI,SELL,17.0,17.0,521.06,521.06,0.0,0.0,0.0
5feebf4c-3c41-4dc4-a0ea-647fe460c899,2025-04-30 18:34:39.707805,MINI,BUY,16.0,16.0,521.06,521.06,0.0,0.06755684940981155,0.06755684940981155
6ea3968b-479f-443d-96c0-ba0033b5af43,2025-04-30 18:34:39.708712,MINI,SELL,17.0,17.0,521.01,521.01,0.0,0.0,0.0
8a7fddec-fec8-4bee-bc83-410d13269e75,2025-04-30 18:34:39.709558,MINI,BUY,15.0,15.0,521.14,521.14,0.0,-1.5687494314119022,-1.5687494314119022
