timestamp,Open,High,Low,Close,Volume,trade_count,vwap
2024-03-26 13:30:00,521.23,521.26,520.92,521.01,342898,,
2024-03-26 13:31:00,521.03,521.11,520.88,521.07,186082,,
2024-03-26 13:32:00,521.05,521.32,521.04,521.22,144430,,
2024-03-26 13:33:00,521.23,521.36,521.15,521.2896,120104,,
2024-03-26 13:34:00,521.3,521.44,521.27,521.36,95387,,
2024-03-26 13:35:00,521.35,521.43,521.1,521.1297,150717,,
2024-03-26 13:36:00,521.13,521.2,521.09,521.12,85499,,
2024-03-26 13:37:00,521.12,521.26,521.1,521.25,58974,,
2024-03-26 13:38:00,521.2399,521.2399,520.97,521.02,159260,,
2024-03-26 13:39:00,521.0196,521.15,521.0,521.09,96552,,
2024-03-26 13:40:00,521.09,521.17,520.99,521.02,109338,,
2024-03-26 13:41:00,521.01,521.06,520.85,520.8522,135336,,
2024-03-26 13:42:00,520.86,520.97,520.84,520.895,147678,,
2024-03-26 13:43:00,520.895,521.085,520.83,521.085,1135844,,
2024-03-26 13:44:00,521.08,521.2084,521.05,521.155,169200,,
2024-03-26 13:45:00,521.165,521.28,521.066,521.066,114550,,
2024-03-26 13:46:00,521.07,521.23,521.07,521.11,66036,,
2024-03-26 13:47:00,521.1,521.18,521.07,521.09,114040,,
2024-03-26 13:48:00,521.095,521.175,521.07,521.17,67113,,
2024-03-26 13:49:00,521.16,521.2099,521.106,521.19,49709,,
2024-03-26 13:50:00,521.19,521.25,521.14,521.215,65501,,
2024-03-26 13:51:00,521.225,521.225,521.05,521.08,66797,,
2024-03-26 13:52:00,521.0776,521.2,521.065,521.12,62975,,
2024-03-26 13:53:00,521.13,521.155,521.005,521.0069,57340,,
2024-03-26 13:54:00,521.01,521.01,520.89,520.955,98023,,
2024-03-26 13:55:00,520.95,521.055,520.92,521.04,99971,,
2024-03-26 13:56:00,521.035,521.1674,521.01,521.145,77001,,
2024-03-26 13:57:00,521.145,521.205,521.11,521.125,40838,,
2024-03-26 13:58:00,521.125,521.175,521.11,521.14,139196,,
2024-03-26 13:59:00,521.16,521.27,521.16,521.25,89254,,
2024-03-26 14:00:00,521.25,521.38,521.18,521.35,188916,,
2024-03-26 14:01:00,521.36,521.38,521.25,521.2801,101208,,
2024-03-26 14:02:00,521.285,521.325,521.2,521.29,69173,,
2024-03-26 14:03:00,521.3,521.315,521.1887,521.25,66193,,
2024-03-26 14:04:00,521.25,521.38,521.25,521.33,79253,,
2024-03-26 14:05:00,521.32,521.38,521.3,521.31,83007,,
2024-03-26 14:06:00,521.3287,521.35,521.26,521.3,54238,,
2024-03-26 14:07:00,521.31,521.44,521.285,521.43,132666,,
2024-03-26 14:08:00,521.43,521.495,521.33,521.38,90138,,
2024-03-26 14:09:00,521.355,521.36,521.29,521.3,76364,,
2024-03-26 14:10:00,521.29,521.37,521.12,521.14,88518,,
2024-03-26 14:11:00,521.14,521.175,520.93,521.175,203520,,
2024-03-26 14:12:00,521.18,521.36,521.1637,521.29,122954,,
2024-03-26 14:13:00,521.31,521.34,521.22,521.3001,63689,,
2024-03-26 14:14:00,521.3199,521.38,521.28,521.33,68387,,
2024-03-26 14:15:00,521.34,521.395,521.23,521.275,101962,,
2024-03-26 14:16:00,521.27,521.39,521.27,521.32,63041,,
2024-03-26 14:17:00,521.33,521.44,521.29,521.38,89547,,
