fast_window,slow_window,price_key,score
2,10,open,0.0
2,10,high,0.0
2,10,low,0.0
2,10,close,0.0
2,15,open,0.0
2,15,high,0.0
2,15,low,0.0
2,15,close,0.0
2,20,open,0.0
2,20,high,0.0
2,20,low,0.0
2,20,close,0.0
2,25,open,0.0
2,25,high,0.0
2,25,low,0.0
2,25,close,0.0
2,30,open,0.0
2,30,high,0.0
2,30,low,0.0
2,30,close,0.0
