timestamp,equity,cash,positions_value
2023-01-02,100000.0,100000.0,0.0
2023-01-03,100000.0,100000.0,0.0
2023-01-04,100000.0,100000.0,0.0
2023-01-05,100000.0,100000.0,0.0
2023-01-06,100000.0,100000.0,0.0
2023-01-09,100000.0,100000.0,0.0
2023-01-10,100000.0,100000.0,0.0
2023-01-11,100000.0,100000.0,0.0
2023-01-12,100000.0,100000.0,0.0
2023-01-13,100000.0,100000.0,0.0
2023-01-16,100000.0,100000.0,0.0
2023-01-17,100000.0,100000.0,0.0
2023-01-18,100000.0,100000.0,0.0
2023-01-19,100000.0,100000.0,0.0
2023-01-20,100000.0,100000.0,0.0
2023-01-23,100000.0,100000.0,0.0
2023-01-24,100000.0,100000.0,0.0
2023-01-25,100000.0,100000.0,0.0
2023-01-26,100000.0,100000.0,0.0
2023-01-27,100000.0,100000.0,0.0
2023-01-30,100000.0,100000.0,0.0
2023-01-31,100000.0,100000.0,0.0
2023-02-01,105442.66706770295,60159.87439189049,45282.79267581246
2023-02-02,99920.95414876273,60159.87439189049,39761.07975687224
2023-02-03,93037.63471181635,60159.87439189049,32877.76031992587
2023-02-06,96023.36928406273,60159.87439189049,35863.494892172246
2023-02-07,101669.2426297586,60159.87439189049,41509.36823786812
2023-02-08,98327.69804353862,60159.87439189049,38167.823651648134
2023-02-09,90264.76369099376,60159.87439189049,30104.88929910327
2023-02-10,90264.76369099377,90264.76369099377,0.0
2023-02-13,90264.76369099377,90264.76369099377,0.0
2023-02-14,90264.76369099377,90264.76369099377,0.0
2023-02-15,90264.76369099377,90264.76369099377,0.0
2023-02-16,90264.76369099377,90264.76369099377,0.0
2023-02-17,90264.76369099377,90264.76369099377,0.0
2023-02-20,90264.76369099377,90264.76369099377,0.0
2023-02-21,85090.0670427139,54465.936247605205,30624.130795108693
2023-02-22,85090.06704271391,85090.06704271391,0.0
2023-02-23,92082.65320160826,51191.3538903187,40891.299311289564
2023-02-24,95873.59423667891,51191.3538903187,44682.24034636021
2023-02-27,89203.84340424326,51191.3538903187,38012.489513924564
2023-02-28,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-02,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-03,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-04,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-05,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-06,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-09,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-10,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-11,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-12,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-13,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-16,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-17,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-18,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-19,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-20,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-23,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-24,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-25,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-26,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-27,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-30,83610.31917238538,51191.3538903187,32418.96528206668
2023-01-31,83610.31917238538,51191.3538903187,32418.96528206668
2023-02-01,85733.26917050236,17953.449726155915,67779.81944434645
2023-02-02,83512.90854030162,17953.449726155915,65559.4588141457
2023-02-03,80598.14062817457,17953.449726155915,62644.69090201866
2023-02-06,81829.8031705262,17953.449726155915,63876.35344437028
2023-02-07,84359.19002453295,17953.449726155915,66405.74029837703
2023-02-08,83066.84592327532,17953.449726155915,65113.39619711941
2023-02-09,79414.47682775684,17953.449726155915,61461.02710160092
2023-02-10,79414.47682775682,46995.511545690155,32418.965282066667
2023-02-13,79414.47682775682,46995.511545690155,32418.965282066667
2023-02-14,79414.47682775682,46995.511545690155,32418.965282066667
2023-02-15,79414.47682775682,46995.511545690155,32418.965282066667
2023-02-16,79414.47682775682,46995.511545690155,32418.965282066667
2023-02-17,79414.47682775682,46995.511545690155,32418.965282066667
2023-02-20,79414.47682775682,46995.511545690155,32418.965282066667
2023-02-21,76874.30397765788,15787.547613201052,61086.75636445683
2023-02-22,76874.30397765788,44455.33869559121,32418.965282066674
2023-02-23,79963.45388553859,14325.99158062804,65637.46230491056
2023-02-24,81125.33949592747,14325.99158062804,66799.34791529944
2023-02-27,78454.87488433754,14325.99158062804,64128.883303709496
2023-02-28,75948.62053794606,14325.99158062804,61622.62895731802
