id,timestamp,symbol,direction,quantity,size,price,fill_price,commission,pnl,realized_pnl
2fb168ff-7947-423c-9320-819450a1104e,2025-04-30 19:42:45.076937,MINI,SELL,19.0,19.0,521.12,521.12,0.0,0.0,0.0
dc3965a9-f08a-4c84-babc-1ac72e0a3c6e,2025-04-30 19:42:45.078334,MINI,BUY,17.0,17.0,521.085,521.085,0.0,0.5949999999994589,0.5949999999994589
f5a45b27-b709-423f-bcf6-7684b915ff05,2025-04-30 19:42:45.079428,MINI,SELL,18.0,18.0,521.09,521.09,0.0,0.0,0.0
375edace-7bbf-4ea4-8326-cee8af831cc4,2025-04-30 19:42:45.080208,MINI,BUY,17.0,17.0,521.17,521.17,0.0,-1.3089999999980364,-1.3089999999980364
88cc7c8a-c621-4378-9d65-ea2aa82aef16,2025-04-30 19:42:45.081218,MINI,SELL,18.0,18.0,521.08,521.08,0.0,0.0,0.0
9fd33495-bc7f-4d16-bf79-e4f715a35051,2025-04-30 19:42:45.082324,MINI,BUY,17.0,17.0,521.145,521.145,0.0,-1.0734285714274847,-1.0734285714274847
89996d33-c031-4c44-85f6-d867a4e18188,2025-04-30 19:42:45.083574,MINI,SELL,18.0,18.0,521.25,521.25,0.0,0.0,0.0
28008985-6998-4a8d-a5e9-5a5852004aa4,2025-04-30 19:42:45.084441,MINI,BUY,16.0,16.0,521.31,521.31,0.0,-1.449142857141851,-1.449142857141851
8c6c6b5a-155a-4467-be14-638d8f6e72c7,2025-04-30 19:42:45.085497,MINI,SELL,18.0,18.0,521.3,521.3,0.0,0.0,0.0
f9e7471a-9f2e-41bd-821b-90c596050aea,2025-04-30 19:42:45.086514,MINI,BUY,16.0,16.0,521.3001,521.3001,0.0,-0.323885714286007,-0.323885714286007
04bb702d-d140-4a5b-b989-f1db7f78d484,2025-04-30 19:42:45.087492,MINI,SELL,18.0,18.0,521.32,521.32,0.0,0.0,0.0
f5725361-3eeb-468e-8949-3578a78b6cbd,2025-04-30 19:42:45.088289,MINI,BUY,16.0,16.0,521.38,521.38,0.0,-1.1576263736260444,-1.1576263736260444
8cf15072-e89e-421a-ac4a-525047f77e29,2025-04-30 19:42:45.089342,MINI,SELL,18.0,18.0,521.36,521.36,0.0,0.0,0.0
5f29cdd5-c581-4cac-bf75-f5c3d4840ee3,2025-04-30 19:42:45.090386,MINI,BUY,16.0,16.0,521.43,521.43,0.0,-1.4191522762939712,-1.4191522762939712
a53a05cf-d19e-49cb-b755-7d3a28ce0b0b,2025-04-30 19:42:45.091314,MINI,SELL,17.0,17.0,521.3,521.3,0.0,0.0,0.0
7772c86d-f8a4-447b-bb59-0d1721642819,2025-04-30 19:42:45.092805,MINI,BUY,16.0,16.0,520.99,520.99,0.0,5.233454230497955,5.233454230497955
a8b9c2aa-b7c8-40d2-a694-96dd68d7476c,2025-04-30 19:42:45.093793,MINI,SELL,17.0,17.0,520.8799,520.8799,0.0,0.0,0.0
2f7e7cdd-f864-413b-9e57-b595e2f0a222,2025-04-30 19:42:45.094669,MINI,BUY,16.0,16.0,521.03,521.03,0.0,0.629590166548951,0.629590166548951
fa593042-4be6-4c5f-8b98-a528bcbb91f4,2025-04-30 19:42:45.095769,MINI,SELL,17.0,17.0,521.06,521.06,0.0,0.0,0.0
9c97595b-33cb-4af0-9fff-33df73449572,2025-04-30 19:42:45.096683,MINI,BUY,16.0,16.0,521.06,521.06,0.0,0.06755684940981155,0.06755684940981155
2111fba5-92e6-4514-ac0f-43274ffdbd8a,2025-04-30 19:42:45.097821,MINI,SELL,17.0,17.0,521.01,521.01,0.0,0.0,0.0
2fe21d89-c38e-47a3-9b2f-4e1b3d5057ed,2025-04-30 19:42:45.098824,MINI,BUY,15.0,15.0,521.14,521.14,0.0,-1.5687494314119022,-1.5687494314119022
cd25177c-cda6-45ff-a127-591b7db6a2e5,2025-04-30 19:42:45.099705,MINI,SELL,17.0,17.0,520.9599,520.9599,0.0,0.0,0.0
e2ce0871-54bb-403b-bee2-8d9af63c9bc1,2025-04-30 19:42:45.100759,MINI,BUY,15.0,15.0,521.09,521.09,0.0,-1.3851247157060698,-1.3851247157060698
b826d692-50a1-47a1-97a4-e92d69ef569a,2025-04-30 19:42:45.102454,MINI,SELL,17.0,17.0,521.29,521.29,0.0,0.0,0.0
81a7c453-fe2a-4f70-ab01-4b249e0cb3ce,2025-04-30 19:42:45.103810,MINI,BUY,15.0,15.0,521.26,521.26,0.0,-1.8643713777322546,-1.8643713777322546
a5d18873-9546-4032-884c-f534800ddf5c,2025-04-30 19:42:45.104887,MINI,SELL,17.0,17.0,521.19,521.19,0.0,0.0,0.0
65329405-85db-4c34-be3f-5247535b2afc,2025-04-30 19:42:45.106188,MINI,BUY,15.0,15.0,521.29,521.29,0.0,-1.9500473403246588,-1.9500473403246588
585e7da4-5017-48cd-8e47-c7517a032ae9,2025-04-30 19:42:45.107210,MINI,SELL,16.0,16.0,521.1801,521.1801,0.0,0.0,0.0
04fee4c4-8ad8-46f2-b6e5-7f960c4fc3f2,2025-04-30 19:42:45.108132,MINI,BUY,15.0,15.0,521.285,521.285,0.0,-1.7513356109606093,-1.7513356109606093
12ed3f96-e5e6-4a8d-988d-2ee5c3edeacc,2025-04-30 19:42:45.109609,MINI,SELL,16.0,16.0,521.28,521.28,0.0,0.0,0.0
47ba1b6a-69a7-4f70-baa2-59f8b3cb038a,2025-04-30 19:42:45.110807,MINI,BUY,15.0,15.0,521.285,521.285,0.0,-1.0808013665763383,-1.0808013665763383
42f73c90-6d0e-4154-ab95-eed42b111e9a,2025-04-30 19:42:45.111874,MINI,SELL,16.0,16.0,521.23,521.23,0.0,0.0,0.0
1892151f-4110-4ee1-a87f-d992c0b844cc,2025-04-30 19:42:45.113165,MINI,BUY,15.0,15.0,521.23,521.23,0.0,-0.1559764430356836,-0.1559764430356836
8a49fc1a-3c8b-43de-923e-330589e2731c,2025-04-30 19:42:45.114176,MINI,SELL,16.0,16.0,521.15,521.15,0.0,0.0,0.0
c1b4b50f-421f-4bb8-a200-d5c5aacb0950,2025-04-30 19:42:45.115566,MINI,BUY,14.0,14.0,521.28,521.28,0.0,-1.216786389308254,-1.216786389308254
55b71d7d-6fe4-4d15-b2c3-5516bb2bb73f,2025-04-30 19:42:45.117079,MINI,SELL,16.0,16.0,521.355,521.355,0.0,0.0,0.0
6f173806-8e84-47ed-8ff5-9f176284e096,2025-04-30 19:42:45.118067,MINI,BUY,14.0,14.0,521.3969,521.3969,0.0,-2.0291004295590938,-2.0291004295590938
1bfed755-9a73-43ad-8a03-c839edebe387,2025-04-30 19:42:45.119173,MINI,SELL,16.0,16.0,521.3099,521.3099,0.0,0.0,0.0
3490aa55-40e7-4bb6-a2b9-a213bb428054,2025-04-30 19:42:45.120549,MINI,BUY,14.0,14.0,521.2085,521.2085,0.0,0.890621458984242,0.890621458984242
b1dfa3c5-e687-46d2-889b-f6fd2d8cd03b,2025-04-30 19:42:45.121492,MINI,SELL,15.0,15.0,521.195,521.195,0.0,0.0,0.0
e21e4a37-8433-4f54-8558-e8be34321347,2025-04-30 19:42:45.122518,MINI,BUY,14.0,14.0,521.23,521.23,0.0,0.24506141888377897,0.24506141888377897
f4df6b84-d9f6-4992-acf2-9137c4d5ec78,2025-04-30 19:42:45.123420,MINI,SELL,15.0,15.0,521.18,521.18,0.0,0.0,0.0
05af3a18-371e-48ce-b86e-1f22f8c71f4c,2025-04-30 19:42:45.124786,MINI,BUY,14.0,14.0,521.21,521.21,0.0,0.22972972548154758,0.22972972548154758
25d06f93-27eb-461b-bb4a-0e3e3c1769d0,2025-04-30 19:42:45.125768,MINI,SELL,15.0,15.0,521.0,521.0,0.0,0.0,0.0
0dcb52dd-ca51-48d1-899b-e32db2a99c95,2025-04-30 19:42:45.127153,MINI,BUY,14.0,14.0,521.02,521.02,0.0,1.9194042993142375,1.9194042993142375
cb0a1c7a-f594-4b42-b6f2-e0ac736f2271,2025-04-30 19:42:45.128115,MINI,SELL,15.0,15.0,520.96,520.96,0.0,0.0,0.0
02eeec92-8388-480e-b0db-6ca0dc5c0430,2025-04-30 19:42:45.129198,MINI,BUY,14.0,14.0,521.1099,521.1099,0.0,-0.1670169904807608,-0.1670169904807608
8e3703fa-1548-4db6-ae47-a32ff5dbc954,2025-04-30 19:42:45.130493,MINI,SELL,15.0,15.0,521.01,521.01,0.0,0.0,0.0
fa490dba-8038-4317-a8d8-6897a1923581,2025-04-30 19:42:45.131707,MINI,BUY,14.0,14.0,520.99,520.99,0.0,1.149352712601285,1.149352712601285
06dc3fce-c6c2-4e35-abab-271de3b3affc,2025-04-30 19:42:45.132609,MINI,SELL,15.0,15.0,520.98,520.98,0.0,0.0,0.0
84cf8800-7100-44c8-85a5-ca164a61054c,2025-04-30 19:42:45.133968,MINI,BUY,13.0,13.0,520.97,520.97,0.0,0.9818937565414672,0.9818937565414672
0444213a-7b65-4c53-a464-022a1d50a0e8,2025-04-30 19:42:45.134946,MINI,SELL,15.0,15.0,520.92,520.92,0.0,0.0,0.0
a2d2f201-81c0-4dcf-9659-b1eec2a1591c,2025-04-30 19:42:45.136089,MINI,BUY,13.0,13.0,520.96,520.96,0.0,0.6585899352793376,0.6585899352793376
